project_code,archetype,year,quarter,gross_sales,productivity_increase,employment_generated,employment_increase,man_months,cost_to_sales_ratio,gross_margin,labor_cost_share,material_cost_ratio,repayment_days_late,repayment_overdue_count,repayment_completion_ratio,sales_trend_3q,sales_volatility,sales_vs_baseline_ratio,regular_employment_ratio,avg_workdays_per_employee,market_count,interventions_availed_count,report_days_late,problems_reported_count,label,outcome,triggered
SETUP-0004,declining,2023,2,69550.0,-10.718870346598203,7,-41.66666666666667,16.55,0.9191197699496766,0.08088023005032342,0.31344589688067753,0.32178289000718907,6.0,5.0,0.07148317114764939,-0.15449095086008854,0.07782863315657608,0.4615279308508395,0.14285714285714285,47.285714285714285,1.0,1.0,15.0,3.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|EMPLOYMENT_BELOW_BASELINE
SETUP-0005,stable,2022,2,401730.0,23.152618752011772,10,11.11111111111111,29.55,0.6658418091753168,0.33415819082468323,0.3342273651033317,0.33130460757225,0.0,2.0,0.0,0.2075047909497414,0.0,1.2263933663209632,0.2,59.1,3.0,1.0,0.0,2.0,0,Routine Monitoring,
SETUP-0005,stable,2022,3,516900.0,28.668508699873048,11,22.22222222222222,34.95,0.5372171793383633,0.4627828206616367,0.27771748219473713,0.2976881408396208,0.0,2.0,0.3333333333333333,0.22978346527853089,0.027579449739306372,1.5779820552393544,0.5454545454545454,63.54545454545455,3.0,0.0,0.0,0.0,0,Routine Monitoring,
SETUP-0005,stable,2022,4,495465.0,-4.146836912362159,10,11.11111111111111,30.55,0.7285035673559183,0.2714964326440818,0.3187830757459204,0.29874965941085646,2.0,2.0,0.5,0.14318220996379935,0.14347017611640403,1.512545712902238,0.4,61.1,3.0,1.0,0.0,2.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0005,stable,2023,1,471265.0,-4.884300606500964,10,11.11111111111111,29.3,0.6425117502891154,0.35748824971088455,0.3020214780181728,0.33889637465120476,2.0,3.0,0.4,0.0397101879747104,0.15646021051516637,1.4386684334733495,0.4,58.6,2.0,0.0,0.0,2.0,0,Routine Monitoring,
SETUP-0006,stable,2022,2,209250.0,13.439228016914237,16,6.666666666666667,48.45,0.5812197849462365,0.4187802150537635,0.3666682453512672,0.31479091995221026,3.5,0.0,0.9226428226748424,0.12593025323207438,0.0,1.2138473618702612,0.25,60.5625,4.0,0.0,0.0,1.0,0,Routine Monitoring,
SETUP-0006,stable,2022,3,192360.0,-8.07168458781362,15,0.0,44.35,0.7815415886878769,0.21845841131212312,0.38047447161164355,0.3212986067789561,4.666666666666667,0.0,0.948428548449895,0.020219427713413073,0.10755456302363928,1.115869431442597,0.4666666666666667,59.13333333333333,1.0,1.0,2.0,2.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0008,growing,2022,2,473500.0,33.76461947002656,23,21.052631578947366,71.2,0.511433833157339,0.488566166842661,0.2935737908438218,0.16947201689545935,4.0,1.0,0.5,0.2888770725576449,0.0,1.3027166401608996,0.6521739130434783,61.91304347826087,5.0,0.0,0.0,0.0,0,Routine Monitoring,SALES_CONTRACTION
SETUP-0008,growing,2022,3,420100.0,-11.277719112988384,23,21.052631578947366,69.7,0.5487383242085218,0.4512616757914782,0.3248839377356822,0.3040704594144251,6.5,1.0,0.6666666666666667,0.0794979079497908,0.2252116929150747,1.1557999166453936,0.34782608695652173,60.608695652173914,4.0,0.0,0.0,1.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0008,growing,2022,4,399450.0,-4.915496310402285,22,15.789473684210526,70.7,0.5780000250344223,0.42199997496557773,0.23525716219416049,0.3564901739892352,4.333333333333333,1.0,0.75,0.020159924227245406,0.19903772676455317,1.0989866143870566,0.3181818181818182,64.27272727272727,3.0,1.0,0.0,1.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0008,growing,2023,1,395400.0,-1.0138941043935412,24,26.31578947368421,72.1,0.5112046535154274,0.48879534648457257,0.25385805553565643,0.21905665149215983,3.25,1.0,0.7999999999999999,-0.06039859042316918,0.042301363593825955,1.0878440538957121,0.5416666666666666,60.083333333333336,5.0,0.0,0.0,0.0,0,Routine Monitoring,
SETUP-0009,volatile,2023,1,151230.0,-22.246786632390744,19,5.555555555555555,50.55,0.5983360444356279,0.40166395556437207,0.31657323822065553,0.2847649275937314,0.0,2.0,0.5,-0.13159298824122098,0.42955804509247375,0.5712079683114986,0.3157894736842105,53.21052631578947,3.0,2.0,2.0,0.0,0,Routine Monitoring,
SETUP-0010,volatile,2023,1,269100.0,24.68723936613845,24,26.31578947368421,60.3,0.3384856558900037,0.6615143441099963,0.2593915958338059,0.29392419175027873,4.333333333333333,1.0,0.75,-0.0023219997630612487,0.1967447320659701,1.1156029804052898,0.625,50.25,5.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0010,volatile,2023,2,383040.0,42.34113712374582,29,52.63157894736842,78.95,0.48532223788638257,0.5146777621136174,0.179724206570889,0.21560411445279867,3.25,1.0,0.8,0.1291708134723168,0.2724713301747156,1.5879619680952886,0.6206896551724138,54.44827586206897,6.0,0.0,0.0,0.0,0,Routine Monitoring,SALES_CONTRACTION
SETUP-0011,volatile,2022,2,669195.0,53.01481684730416,14,16.666666666666664,34.6,0.6016453051801045,0.3983546948198955,0.31087611749528454,0.21663341776313333,0.0,0.0,1.0,0.41906491886835934,0.0,2.0558195426707395,0.6428571428571429,49.42857142857143,5.0,0.0,0.0,0.0,0,Routine Monitoring,SALES_CONTRACTION
SETUP-0011,volatile,2022,3,523320.0,-21.798578889561337,13,8.333333333333332,38.9,0.7945804288007338,0.20541957119926618,0.4088414446227829,0.32858480470840024,3.3333333333333335,0.0,1.0,0.07912973853502306,0.3740669786843275,1.6076800978346393,0.15384615384615385,59.84615384615385,1.0,1.0,0.0,2.0,1,Additional Review or Follow-up,SALES_CONTRACTION|SUSTAINED_DECLINE
SETUP-0011,volatile,2022,4,431415.0,-17.561912405411604,13,8.333333333333332,34.55,0.5915060904233742,0.40849390957662574,0.2883591329570828,0.35691851233730865,5.25,0.0,1.0,-0.0317571206101093,0.34312401769282436,1.3253407272936844,0.6153846153846154,53.15384615384615,3.0,0.0,1.0,1.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SALES_CONTRACTION|SUSTAINED_DECLINE
SETUP-0012,growing,2022,2,126960.0,24.47058823529412,23,15.0,71.05,0.6233668084436043,0.37663319155639574,0.35084597243079435,0.21301984877126653,0.0,0.0,0.8658334461194072,0.2180293501048218,0.0,1.491343459535063,0.782608695652174,61.78260869565217,4.0,0.0,0.0,1.0,0,Routine Monitoring,
SETUP-0012,growing,2022,3,141995.0,11.842312539382483,27,35.0,84.45,0.5076039297158351,0.49239607028416493,0.2956204470705169,0.20236628050283462,0.0,1.0,0.5772222974129381,0.16172446792737663,0.06314137847955818,1.6679530130488442,0.6666666666666666,62.55555555555556,4.0,0.0,0.0,1.0,0,Routine Monitoring,
SETUP-0012,growing,2022,4,152430.0,7.348850311630692,25,25.0,76.95,0.4653746637800958,0.5346253362199043,0.26101307271544666,0.24867152135406417,0.0,2.0,0.4329167230597036,0.12711483898086495,0.07248129715625488,1.7905283832461376,0.52,61.56,4.0,2.0,0.0,1.0,0,Routine Monitoring,
SETUP-0012,growing,2023,1,137655.0,-9.692973824050384,24,20.0,74.6,0.45738353129199816,0.5426164687080018,0.2414124397068477,0.27877665177436345,0.0,2.0,0.5463333784477629,0.03042358328563251,0.09275915836298093,1.616972935745897,0.4583333333333333,62.166666666666664,6.0,0.0,0.0,0.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0012,growing,2023,2,133350.0,-3.1273836765827614,25,25.0,77.65,0.6264135733033371,0.3735864266966629,0.2549972016795908,0.3026246719160105,0.0,3.0,0.45527781537313566,-0.02879932087084166,0.07018089502863334,1.5664039880986187,0.56,62.12,5.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0012,growing,2023,3,143880.0,7.896512935883014,27,35.0,85.0,0.3735405893800389,0.6264594106199611,0.30869781051342066,0.26779260494856827,0.0,4.0,0.3902381274626877,-0.021120541498109515,0.07257358832283659,1.6900952816470136,0.5185185185185185,62.96296296296296,6.0,0.0,0.0,0.0,0,Routine Monitoring,
SETUP-0013,stable,2022,2,295410.0,25.615512182676365,18,0.0,53.75,0.6108524423682339,0.38914755763176606,0.3287631408964782,0.2796621644494093,8.0,1.0,0.5,0.22707226054506388,0.0,1.334312579016048,0.6111111111111112,59.72222222222222,2.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0013,stable,2022,3,309570.0,4.7933380725093935,18,0.0,51.6,0.8500999773879898,0.14990002261201016,0.31703238400025535,0.33186355266983236,8.0,2.0,0.33333333333333337,0.1328334226031066,0.10411087055083486,1.398270691872306,0.5,57.333333333333336,4.0,1.0,0.0,2.0,1,Additional Review or Follow-up,SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE
SETUP-0013,stable,2022,4,263880.0,-14.759182091287915,17,-5.555555555555555,49.3,0.7454816204335304,0.2545183795664696,0.3437228751516958,0.28389798393209037,10.5,2.0,0.5,0.036335969131273606,0.16485616347275087,1.191897374329761,0.35294117647058826,58.0,1.0,0.0,0.0,2.0,0,Routine Monitoring,
SETUP-0013,stable,2023,1,268140.0,1.6143701682582994,18,0.0,52.0,0.5821310882374879,0.4178689117625121,0.3821552625514734,0.2590064891474603,7.0,2.0,0.6,-0.044854881266490766,0.08566732135210602,1.2111390099771946,0.6666666666666666,57.77777777777778,3.0,0.0,0.0,1.0,0,Routine Monitoring,
SETUP-0013,stable,2023,2,253365.0,-5.510181248601477,18,0.0,54.25,0.7465023977265999,0.25349760227340007,0.324239476892958,0.2404436287569317,7.0,3.0,0.49999999999999994,-0.06004082359549023,0.06703203737149241,1.1444030553549336,0.3333333333333333,60.27777777777778,1.0,1.0,16.0,2.0,0,Routine Monitoring,EMPLOYMENT_BELOW_BASELINE
SETUP-0013,stable,2023,3,319230.0,25.996092593688946,17,-5.555555555555555,50.6,0.6663717382451523,0.33362826175484767,0.3376280315720915,0.29699589637565393,7.0,4.0,0.4285714285714285,0.05477926698442444,0.13490214201197104,1.4419031332700076,0.47058823529411764,59.529411764705884,4.0,0.0,0.0,1.0,0,Routine Monitoring,SALES_CONTRACTION
SETUP-0014,declining,2022,2,313290.0,16.942889137737964,12,-14.285714285714285,29.55,0.8208881547448051,0.1791118452551949,0.3291682098702426,0.2917105557151521,12.0,1.0,0.5,0.15619676869870439,0.0,0.7100558564128306,0.0,49.25,2.0,1.0,0.0,2.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE
SETUP-0014,declining,2022,3,281520.0,-10.140764148233266,11,-21.428571428571427,29.3,0.7514019252628588,0.24859807473714118,0.48567187591518685,0.34033105996021595,12.0,2.0,0.33333333333333337,0.023681190666620302,0.13541826642985616,0.6380507666932876,0.2727272727272727,53.27272727272727,2.0,2.0,7.0,3.0,1,Additional Review or Follow-up,SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE
SETUP-0014,declining,2022,4,236250.0,-16.08056265984655,12,-14.285714285714285,32.35,0.8228838518518519,0.17711614814814816,0.4240149921059661,0.3460952380952381,12.0,3.0,0.25,-0.04612360777462328,0.14373408512097188,0.5354486133535422,0.08333333333333333,53.916666666666664,2.0,2.0,12.0,3.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE|LABOR_CONTRACTION
SETUP-0014,declining,2023,1,178500.0,-24.444444444444443,9,-35.714285714285715,20.75,0.8675550140056023,0.13244498599439772,0.46309668234699564,0.3124089635854342,12.0,4.0,0.19999999999999998,-0.17815285867110425,0.058673389281637504,0.4045611745337874,0.2222222222222222,46.111111111111114,1.0,1.0,14.0,4.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE
SETUP-0014,declining,2023,2,171780.0,-3.7647058823529407,10,-28.57142857142857,22.6,0.8141180579811388,0.18588194201886127,0.4255716157117809,0.3865118174409128,12.0,5.0,0.16666666666666666,-0.17831691722827026,0.08493699846009511,0.3893306361983978,0.1,45.2,1.0,1.0,4.0,4.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|EMPLOYMENT_BELOW_BASELINE
SETUP-0014,declining,2023,3,175570.0,2.2063103970194438,8,-42.857142857142854,21.55,0.753578287862391,0.246421712137609,0.36472809116218236,0.32516944808338555,12.0,6.0,0.14285714285714285,-0.09907361238682588,0.11419123122711476,0.397920478503625,0.125,53.875,1.0,1.0,3.0,3.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|LABOR_CONTRACTION
SETUP-0015,recovering,2022,2,139950.0,0.8866782006920416,18,-5.263157894736842,49.35,0.7714216505894962,0.2285783494105038,0.4576632963586854,0.3229010360843158,0.0,1.0,0.5,0.00882764560232533,0.0,0.8007447068815211,0.05555555555555555,54.833333333333336,3.0,2.0,0.0,2.0,1,Additional Review or Follow-up,EMPLOYMENT_BELOW_BASELINE|LABOR_CONTRACTION
SETUP-0015,recovering,2022,3,144300.0,3.1082529474812435,16,-15.789473684210526,41.7,0.7584801108801108,0.24151988911988917,0.39316782989068483,0.26562716562716565,6.5,1.0,0.6666666666666666,0.01978863749202071,0.011107873733946009,0.825633877834966,0.1875,52.125,2.0,1.0,1.0,1.0,0,Routine Monitoring,EMPLOYMENT_BELOW_BASELINE
SETUP-0015,recovering,2022,4,155810.0,7.9764379764379765,17,-10.526315789473683,48.05,0.5162988254925871,0.48370117450741285,0.3128298857398863,0.2663500417174764,6.5,2.0,0.5,0.03843947613946577,0.029608428512749734,0.8914900520129317,0.4117647058823529,56.529411764705884,4.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0016,recovering,2022,2,382410.0,7.8745821520754875,10,-23.076923076923077,26.0,0.8261104050626291,0.17388959493737088,0.35050634845910683,0.30782406317826416,0.0,2.0,0.0,0.07576281881653674,0.0,1.2335292746356918,0.2,52.0,2.0,3.0,5.0,4.0,0,Routine Monitoring,EMPLOYMENT_BELOW_BASELINE
SETUP-0016,recovering,2022,3,371440.0,-2.86864883240501,11,-15.384615384615385,30.1,0.7011502530691364,0.2988497469308637,0.3655472905453467,0.3373896187809606,6.0,2.0,0.3333333333333333,0.022932841308437354,0.05371615492240249,1.1981436515014812,0.36363636363636365,54.72727272727273,4.0,2.0,8.0,1.0,0,Routine Monitoring,
SETUP-0016,recovering,2022,4,406350.0,9.398556967477925,13,0.0,34.3,0.6863023255813953,0.31369767441860474,0.34346464657873965,0.2783437922972807,6.0,3.0,0.25,0.03818458501546516,0.054591803348993315,1.310751865140068,0.38461538461538464,52.76923076923077,4.0,1.0,0.0,1.0,0,Routine Monitoring,
SETUP-0016,recovering,2023,1,441450.0,8.637873754152823,14,7.6923076923076925,37.55,0.6970588968173067,0.30294110318269335,0.30616305617521833,0.2472873485105901,3.0,3.0,0.4,0.05295289232978491,0.05612120208606861,1.4239729564810706,0.5,53.642857142857146,5.0,0.0,0.0,0.0,1,Additional Review or Follow-up,SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE
SETUP-0018,growing,2022,2,456300.0,34.26906779661017,21,10.526315789473683,65.2,0.5126510409818102,0.48734895901818975,0.29308634344845674,0.24189129958360728,1.0,1.0,0.5,0.29256160976712636,0.0,1.6642410617617254,0.5714285714285714,62.095238095238095,6.0,0.0,0.0,0.0,0,Routine Monitoring,
SETUP-0018,growing,2022,3,418620.0,-8.257725180802105,20,5.263157894736842,59.4,0.6934189240838947,0.30658107591610523,0.35769965884204585,0.38032105489465384,1.0,2.0,0.3333333333333333,0.0972784747604465,0.21263396488706138,1.526812608535379,0.4,59.4,3.0,1.0,5.0,1.0,1,Additional Review or Follow-up,SALES_CONTRACTION|SUSTAINED_DECLINE
SETUP-0018,growing,2022,4,373380.0,-10.806937078973771,20,5.263157894736842,64.6,0.584317237131073,0.415682762868927,0.2982026092488247,0.2948202903208528,1.0,3.0,0.25,0.015852506705957913,0.20674387852792184,1.3618109306171224,0.4,64.6,2.0,1.0,0.0,2.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0018,growing,2023,1,367215.0,-1.651132894102523,22,15.789473684210526,67.25,0.5649348746647059,0.43506512533529407,0.2612377981741946,0.28095257546668845,0.5,3.0,0.4,-0.0773734691414193,0.038582421618625504,1.3393256223862195,0.5909090909090909,61.13636363636363,5.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0018,growing,2023,2,464850.0,26.587966177852213,22,15.789473684210526,66.85,0.6049631924276648,0.3950368075723351,0.25473024154928825,0.2672259868774874,0.3333333333333333,3.0,0.5000000000000001,0.032640319199046836,0.15915241668339172,1.6954250658775762,0.5909090909090909,60.77272727272727,5.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0018,growing,2023,3,554840.0,19.358932989136278,24,26.31578947368421,74.75,0.5534673058899863,0.44653269411001373,0.3096633904921686,0.20385156081032368,0.25,3.0,0.5714285714285714,0.14588887594906508,0.11977425551879142,2.023641268261836,0.5833333333333334,62.291666666666664,7.0,0.0,0.0,0.0,0,Routine Monitoring,SALES_CONTRACTION
SETUP-0019,stable,2022,2,451755.0,24.157975017520716,9,12.5,26.8,0.759955263361778,0.24004473663822198,0.2512604292769185,0.2771413708758066,0.0,2.0,0.0,0.21554419391620996,0.0,1.3250066836205028,0.3333333333333333,59.55555555555556,3.0,1.0,2.0,2.0,0,Routine Monitoring,SALES_CONTRACTION
SETUP-0019,stable,2022,3,400695.0,-11.302586579008533,8,0.0,22.95,0.8087352225508181,0.19126477744918197,0.3139283326692509,0.4174372028600307,13.0,2.0,0.3333333333333333,0.04543268341411077,0.17730280798264625,1.175246656026646,0.0,57.375,3.0,0.0,0.0,2.0,0,Routine Monitoring,
SETUP-0019,stable,2022,4,630090.0,57.24927937708232,10,25.0,28.9,0.4551662143503309,0.5448337856496691,0.21603620389261094,0.23917218175181323,7.5,2.0,0.5,0.16196859285255863,0.2799175310896692,1.848066897505158,0.6,57.8,6.0,0.0,0.0,0.0,1,Additional Review or Follow-up,SALES_CONTRACTION|LABOR_CONTRACTION
SETUP-0019,stable,2023,1,561000.0,-10.965100223777556,8,0.0,22.1,0.6552898217468807,0.3447101782531194,0.3611868790065241,0.3505258467023173,5.666666666666667,2.0,0.6,0.10905193928183446,0.3223640765661642,1.645424509991261,0.75,55.25,4.0,1.0,4.0,0.0,1,Additional Review or Follow-up,SALES_CONTRACTION|SUSTAINED_DECLINE
SETUP-0019,stable,2023,2,447030.0,-20.315508021390375,8,0.0,24.0,0.7242544795651298,0.27574552043487016,0.29182840510609787,0.343209627989173,7.5,2.0,0.6666666666666666,0.01371679137145842,0.3457187031626553,1.3111481616780631,0.25,60.0,1.0,1.0,0.0,1.0,0,Routine Monitoring,
SETUP-0019,stable,2023,3,564000.0,26.16602912556204,9,12.5,27.25,0.5481532269503546,0.45184677304964543,0.3802190799137866,0.2835017730496454,6.0,2.0,0.7142857142857143,-0.05671625524494578,0.2007398589740398,1.6542235715420164,0.4444444444444444,60.55555555555556,5.0,0.0,0.0,1.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|LABOR_CONTRACTION
SETUP-0020,declining,2022,2,338700.0,19.395093062605753,9,-10.0,23.5,0.7121514319456747,0.28784856805432535,0.3487780905997699,0.2580602302922941,0.0,1.0,0.5,0.17680516726115877,0.0,0.9446596246619362,0.3333333333333333,52.22222222222222,3.0,0.0,0.0,2.0,0,Routine Monitoring,EMPLOYMENT_BELOW_BASELINE
SETUP-0020,declining,2022,3,315870.0,-6.740478299379982,9,-10.0,22.65,0.870290056035711,0.12970994396428906,0.4719908277425429,0.3538639313641688,3.5,1.0,0.5143355459225143,0.05146282973621103,0.13067785680992866,0.880985047658594,0.2222222222222222,50.333333333333336,2.0,1.0,10.0,2.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE
SETUP-0020,declining,2022,4,222840.0,-29.45198974261563,8,-20.0,21.65,0.8803616944893197,0.11963830551068036,0.45914569186022214,0.2830057440315922,3.5,2.0,0.38575165944188566,-0.07074386998423894,0.1995806253409558,0.6215174217882075,0.125,54.125,1.0,2.0,9.0,3.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE|LABOR_CONTRACTION
